"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"332";"Hu";"ASV_31_Plagioselmis_prolonga";FALSE;16;2135;0,8;0,6;1;87,7;3,3;10,1
"333";"Hu";"ASV_38_Phaeocystis_globosa";FALSE;17;1703;0,6;0;1,2;88,3;3,2;10,8
"334";"Hu";"ASV_44_Plagioselmis_prolonga";FALSE;18;1651;0,6;0,4;0,7;88,9;3,2;11,4
"335";"Hu";"ASV_50_Plagioselmis_prolonga";FALSE;19;1541;0,6;0,4;0,7;89,4;3,2;12
"336";"Hu";"ASV_40_Pelagomonas_calceolata";FALSE;20;1457;0,5;0,2;0,9;89,9;3,2;12,7
"337";"Hu";"ASV_49_Phaeocystis_globosa";FALSE;21;1390;0,5;0;0,9;90,4;3,1;13,3
"338";"Hu";"ASV_58_Phaeocystis_globosa";FALSE;22;1267;0,5;0;0,9;90,9;3,1;13,9
"339";"Hu";"ASV_53_Pelagomonas_calceolata";FALSE;23;1243;0,4;0,2;0,7;91,3;3,1;14,6
"340";"Hu";"ASV_29_Chloroparvula_pacifica";FALSE;24;1120;0,4;0;0,8;91,7;3;15,2
"341";"Hu";"ASV_62_Pelagomonas_calceolata";FALSE;25;1113;0,4;0,2;0,6;92,1;3;15,8
"342";"Hu";"ASV_83_Teleaulax_sp.";FALSE;26;999;0,4;0,2;0,5;92,5;3;16,5
"343";"Hu";"ASV_66_Teleaulax_gracilis";FALSE;27;934;0,3;0,2;0,4;92,8;3;17,1
"344";"Hu";"ASV_48_Chloroparvula_pacifica";FALSE;28;832;0,3;0;0,6;93,1;2,9;17,7
"345";"Hu";"ASV_82_Pelagomonadales_clade_B1_sp.";FALSE;29;819;0,3;0;0,6;93,4;2,9;18,4
"346";"Hu";"ASV_30_Picochlorum_sp.";FALSE;30;784;0,3;0,2;0,4;93,7;2,9;19
"347";"Hu";"ASV_112_Teleaulax_sp.";FALSE;31;760;0,3;0,2;0,4;94;2,9;19,6
"348";"Hu";"ASV_118_Teleaulax_sp.";FALSE;32;723;0,3;0,2;0,3;94,2;2,9;20,3
"349";"Hu";"ASV_89_Teleaulax_gracilis";FALSE;33;711;0,3;0,2;0,3;94,5;2,9;20,9
"350";"Hu";"ASV_106_Pelagomonadales_clade_B1_sp.";FALSE;34;690;0,2;0;0,5;94,7;2,8;21,5
"351";"Hu";"ASV_99_Teleaulax_gracilis";FALSE;35;683;0,2;0,2;0,3;95;2,8;22,2
"352";"Hu";"ASV_56_Chloroparvula_pacifica";FALSE;36;665;0,2;-0,1;0,5;95,2;2,8;22,8
