;names;codes
404;Chloropicon_mariensis;RCC998_EU106824
405;Chloropicon_mariensis;RCC998_KF422632
406;Chloropicon_primus;RCC1019_KT860708
407;Chloropicon_primus;RCC1019_KU843588
408;Chloropicon_primus;RCC1032_EU106835
409;Chloropicon_primus;RCC1032_KU843590
410;Chloropicon_primus;RCC1043_KT860695
411;Chloropicon_primus;RCC1043_KU843591
412;Chloropicon_roscoffensis;RCC1124_KT860719
413;Chloropicon_roscoffensis;RCC1124_KU843592
414;Chloropicon_roscoffensis;RCC1871_KF899840
415;Chloropicon_roscoffensis;RCC2335_KF422627
416;Chloroparvula_pacifica;RCC2337_KT860793
417;Chloroparvula_pacifica;RCC2337_KU843593
418;Chloroparvula_japonica;RCC2339_KF422628
419;Chloropicon_maureeniae;RCC3368_KF899838
420;Chloropicon_maureeniae;RCC3368_MF077475
421;Chloropicon_roscoffensis;RCC3373_KU843594
422;Chloropicon_maureeniae;RCC3374_KU843595
423;Chloropicon_roscoffensis;RCC3375_KF899843
424;Chloropicon_maureeniae;RCC3376_KU843596
425;Chloropicon_roscoffensis;RCC3632_MH792068
426;Chloropicon_roscoffensis;RCC3633_MH792069
427;Chloropicon_roscoffensis;RCC4429_KU843597
428;Chloropicon_roscoffensis;RCC4429_KX523147
429;Chloropicon_roscoffensis;RCC4430_KU843598
430;Chloropicon_roscoffensis;RCC4430_KX523148
431;Chloropicon_laureae;RCC4434_KU843599
432;Chloropicon_laureae;RCC4434_KX523150
433;prasinophyte_sp;RCC4569_KX014641
434;Chloroparvula_pacifica;RCC4572_KX014643
435;Chloroparvula_pacifica;RCC4472_MF077476
436;prasinophyte_sp;RCC4573_KX014644
437;Chloroparvula_pacifica;RCC4656_KU843574
438;Chloropicon_roscoffensis;RCC6306_MN604334
439;Picochlorum_sp;RCC9_KT860852
440;Picochlorum_sp;RCC13_KT860853
441;Picochlorum_sp;RCC14_KT860854
442;Picochlorum_sp;RCC99_KT860856
443;Picochlorum_sp;RCC140_KT860873
444;Picochlorum_sp;RCC142_KT860874
445;Chlorella_sp;RCC347_KT860631
446;Chlorella_sp;RCC396_KT860642
447;Picochlorum_sp;RCC475_KT860662
448;Picochlorum_sp;RCC484_KT860668
449;Picochlorum_sp;RCC485_KT860806
450;Picochlorum_sp;RCC490_KT860669
451;Chlorella_sp;RCC533_KT860679
452;Chlorella_sp;RCC537_KT860672
453;Picochlorum_sp;RCC632_KT860665
454;Picochlorum_sp;RCC633_KT860663
455;Picochlorum_sp;RCC637_KT860666
456;Chlorella_stigmatophora;RCC661_KT860883
457;Chlorella_sp;RCC664_KT860884
458;Picochlorum_sp;RCC683_KT860889
