Species;RCC;Genbank_accession;Keep;Status
Pelagococcus_sp;RCC5666;MH764640;Yes;Distributed
Pelagomonadales_clade_B_X_sp;RCC5667;MH764641;Yes;Distributed
Pelagomonadaceae_clade_D2_sp;RCC5668;MH764651;Yes;Distributed
Pelagomonadaceae_clade_D2_sp;RCC5669;MH764652;Yes;Distributed
Pelagomonadales_clade_B_X_sp;RCC5670;MH764642;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5671;MH764654;Yes;Distributed
Pelagococcus_sp;RCC5672;MH764643;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5673;MH764655;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5674;MH764656;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5676;MH764657;Yes;Distributed
;RCC5677;MH764658;No;NotFound
Pelagomonadaceae_clade_C_sp;RCC5678;MH764659;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5679;MH764660;Yes;Distributed
Pelagococcus_sp;RCC5693;MH764644;Yes;Distributed
Pelagococcus_subviridis;RCC5694;MH764645;Yes;Distributed
Pelagophyceae_XXX_sp;RCC5695;MH764646;Yes;Distributed
Pelagococcus_subviridis;RCC5696;MH764647;Yes;Distributed
Pelagomonadaceae_clade_C_sp;RCC5698;MH764662;Yes;Distributed
Pelagococcus_subviridis;RCC5715;MH764648;Yes;Distributed
Pelagococcus_sp;RCC5720;MH764649;Yes;Distributed
Pelagococcus_sp;RCC5724;MH764650;Yes;Distributed
Pelagomonas_calceolata;RCC5725;MH764653;Yes;Distributed
Ankylochrysis_sp;RCC6043;MK542675;Yes;Distributed
Ankylochrysis_sp;RCC6044;MK542676;Yes;Distributed
Pelagococcus_subviridis;RCC6126;MN121034;Yes;Distributed
Pelagococcus_subviridis;RCC6142;MN121045;Yes;Distributed
Pelagococcus_subviridis;RCC6145;MN121047;Yes;Distributed
Pelagococcus_subviridis;RCC6147;MN121048;Yes;Distributed
Tetraselmis_sp;RCC119;KT860857;Yes;Distributed
Tetraselmis_sp;RCC120;KT860858;Yes;Distributed
Tetraselmis_sp;RCC121;KT860859;Yes;Distributed
Tetraselmis_sp;RCC122;KT860860;Yes;Distributed
Tetraselmis_sp;RCC123;KT860861;Yes;Distributed
Tetraselmis_sp;RCC124;KT860862;Yes;Distributed
Tetraselmis_sp;RCC125;KT860863;Yes;Distributed
Tetraselmis_sp;RCC126;KT860864;Yes;Distributed
Tetraselmis_sp;RCC127;KT860865;Yes;Distributed
Tetraselmis_chui;RCC128;KT860866;Yes;Distributed
Tetraselmis_chui;RCC129;KT860867;Yes;Distributed
Tetraselmis_striata;RCC130;KT860868;Yes;Distributed
Tetraselmis_striata;RCC131;KT860869;Yes;Distributed
Tetraselmis_rubens;RCC132;KT860870;Yes;Distributed
Tetraselmis_rubens;RCC133;KT860871;Yes;Distributed
Tetraselmis_sp;RCC348;KT860643;Yes;Distributed
Tetraselmis_sp;RCC500;AY425299;Yes;Distributed
Tetraselmis_sp;RCC571;KT860880;Yes;Distributed
Tetraselmis_convolutae;RCC1563;KT860913;Yes;Distributed
Tetraselmis_convolutae;RCC1564;KT860914;Yes;Distributed
